Frame: 182, Time: 2025-02-16T18:41:39.0368111, Frame size (bytes): 2932685 Height: 1920, Width: 1080
Frame: 183, Time: 2025-02-16T18:41:39.4710324, Frame size (bytes): 2951494 Height: 1920, Width: 1080
Frame: 184, Time: 2025-02-16T18:41:39.9075154, Frame size (bytes): 2989335 Height: 1920, Width: 1080
Frame: 185, Time: 2025-02-16T18:41:40.3606239, Frame size (bytes): 3001597 Height: 1920, Width: 1080
Frame: 186, Time: 2025-02-16T18:41:40.7953942, Frame size (bytes): 3024638 Height: 1920, Width: 1080
Frame: 187, Time: 2025-02-16T18:41:41.2323299, Frame size (bytes): 3045297 Height: 1920, Width: 1080
Frame: 188, Time: 2025-02-16T18:41:41.659266, Frame size (bytes): 2833278 Height: 1920, Width: 1080
Frame: 189, Time: 2025-02-16T18:41:42.1033818, Frame size (bytes): 3181201 Height: 1920, Width: 1080
Frame: 190, Time: 2025-02-16T18:41:42.5729985, Frame size (bytes): 3277289 Height: 1920, Width: 1080
Frame: 191, Time: 2025-02-16T18:41:43.0505732, Frame size (bytes): 3343139 Height: 1920, Width: 1080
Frame: 192, Time: 2025-02-16T18:41:43.5396957, Frame size (bytes): 3386114 Height: 1920, Width: 1080
Frame: 193, Time: 2025-02-16T18:41:44.0329836, Frame size (bytes): 3439201 Height: 1920, Width: 1080
Frame: 194, Time: 2025-02-16T18:41:44.5299643, Frame size (bytes): 3461353 Height: 1920, Width: 1080
Frame: 195, Time: 2025-02-16T18:41:45.033376, Frame size (bytes): 3487092 Height: 1920, Width: 1080
Frame: 196, Time: 2025-02-16T18:41:45.5580228, Frame size (bytes): 3528292 Height: 1920, Width: 1080
Frame: 197, Time: 2025-02-16T18:41:46.0558375, Frame size (bytes): 3562650 Height: 1920, Width: 1080
Frame: 198, Time: 2025-02-16T18:41:46.5430201, Frame size (bytes): 2981692 Height: 1920, Width: 1080
Frame: 199, Time: 2025-02-16T18:41:47.0021311, Frame size (bytes): 3046515 Height: 1920, Width: 1080
Frame: 200, Time: 2025-02-16T18:41:47.4510382, Frame size (bytes): 3094948 Height: 1920, Width: 1080
Frame: 201, Time: 2025-02-16T18:41:47.9086091, Frame size (bytes): 3178986 Height: 1920, Width: 1080
Frame: 202, Time: 2025-02-16T18:41:48.4013119, Frame size (bytes): 3257532 Height: 1920, Width: 1080
Frame: 203, Time: 2025-02-16T18:41:48.9703052, Frame size (bytes): 3305146 Height: 1920, Width: 1080
Frame: 204, Time: 2025-02-16T18:41:49.4512256, Frame size (bytes): 3344241 Height: 1920, Width: 1080
Frame: 205, Time: 2025-02-16T18:41:49.9372753, Frame size (bytes): 3377489 Height: 1920, Width: 1080
Frame: 206, Time: 2025-02-16T18:41:50.4212998, Frame size (bytes): 3403190 Height: 1920, Width: 1080
Frame: 207, Time: 2025-02-16T18:41:50.8543839, Frame size (bytes): 2576339 Height: 1920, Width: 1080
Frame: 208, Time: 2025-02-16T18:41:51.2502954, Frame size (bytes): 2624953 Height: 1920, Width: 1080
Frame: 209, Time: 2025-02-16T18:41:51.6442865, Frame size (bytes): 2664058 Height: 1920, Width: 1080
Frame: 210, Time: 2025-02-16T18:41:52.0442853, Frame size (bytes): 2680227 Height: 1920, Width: 1080
Frame: 211, Time: 2025-02-16T18:41:52.4444012, Frame size (bytes): 2692979 Height: 1920, Width: 1080
Frame: 212, Time: 2025-02-16T18:41:52.8462878, Frame size (bytes): 2697388 Height: 1920, Width: 1080
Frame: 213, Time: 2025-02-16T18:41:53.255343, Frame size (bytes): 2703542 Height: 1920, Width: 1080
Frame: 214, Time: 2025-02-16T18:41:53.6632829, Frame size (bytes): 2709373 Height: 1920, Width: 1080
Frame: 215, Time: 2025-02-16T18:41:54.0763846, Frame size (bytes): 2714762 Height: 1920, Width: 1080
Frame: 216, Time: 2025-02-16T18:41:54.4851411, Frame size (bytes): 2718516 Height: 1920, Width: 1080
Frame: 217, Time: 2025-02-16T18:41:54.8942294, Frame size (bytes): 2720057 Height: 1920, Width: 1080
Frame: 218, Time: 2025-02-16T18:41:55.3133318, Frame size (bytes): 2724443 Height: 1920, Width: 1080
Frame: 219, Time: 2025-02-16T18:41:55.7304302, Frame size (bytes): 2726890 Height: 1920, Width: 1080
Frame: 220, Time: 2025-02-16T18:41:56.1485113, Frame size (bytes): 2726144 Height: 1920, Width: 1080
Frame: 221, Time: 2025-02-16T18:41:56.576615, Frame size (bytes): 2761678 Height: 1920, Width: 1080
Frame: 222, Time: 2025-02-16T18:41:56.9947286, Frame size (bytes): 2882961 Height: 1920, Width: 1080
Frame: 223, Time: 2025-02-16T18:41:57.4002181, Frame size (bytes): 2619586 Height: 1920, Width: 1080
Frame: 224, Time: 2025-02-16T18:41:57.8025582, Frame size (bytes): 2664910 Height: 1920, Width: 1080
Frame: 225, Time: 2025-02-16T18:41:58.2128234, Frame size (bytes): 2688088 Height: 1920, Width: 1080
Frame: 226, Time: 2025-02-16T18:41:58.6227178, Frame size (bytes): 2714619 Height: 1920, Width: 1080
Frame: 227, Time: 2025-02-16T18:41:59.044333, Frame size (bytes): 2728816 Height: 1920, Width: 1080
